System Name,System Faction,Planet Name,Planet Type,Planet Archetype,Planet Faction,Resource Count
CSS-MUD-KING-01,MUD,CSS-MUD-KING-01-P1,MUD Oceanic Planet,Oceanic Planet,MUD,14
CSS-MUD-KING-01,MUD,CSS-MUD-KING-01-P2,MUD Oceanic Planet,Oceanic Planet,MUD,14
CSS-MUD-KING-01,MUD,CSS-MUD-KING-01-P3,MUD System Asteroid Belt,Asteroid Belt,MUD,14
CSS-MUD-KING-01,MUD,CSS-MUD-KING-01-P4,MUD Barren Planet,Barren Planet,MUD,12
CSS-MUD-KING-01,MUD,CSS-MUD-KING-01-P5,MUD Gas Giant,Gas Giant,MUD,9
CSS-MUD-KING-01,MUD,CSS-MUD-KING-01-P6,MUD Ice Giant,Ice Giant,MUD,17
CSS-MUD-KING-01,MUD,CSS-MUD-KING-01-P7,MUD Volcanic Planet,Volcanic Planet,MUD,17
004-MUD-KING-01,MUD,004-MUD-KING-01-P1,MUD Ice Giant,Ice Giant,MUD,17
004-MUD-KING-01,MUD,004-MUD-KING-01-P2,MUD Volcanic Planet,Volcanic Planet,MUD,17
004-MUD-KING-01,MUD,004-MUD-KING-01-P3,MUD Dark Planet,Dark Planet,MUD,17
004-MUD-KING-01,MUD,004-MUD-KING-01-P4,MUD System Asteroid Belt,Asteroid Belt,MUD,14
004-MUD-KING-01,MUD,004-MUD-KING-01-P5,MUD Ice Giant,Ice Giant,MUD,17
004-MUD-KING-01,MUD,004-MUD-KING-01-P6,MUD Barren Planet,Barren Planet,MUD,12
005-MUD-KING-01,MUD,005-MUD-KING-01-P1,MUD Ice Giant,Ice Giant,MUD,17
005-MUD-KING-01,MUD,005-MUD-KING-01-P2,MUD Volcanic Planet,Volcanic Planet,MUD,17
005-MUD-KING-01,MUD,005-MUD-KING-01-P3,MUD Oceanic Planet,Oceanic Planet,MUD,14
005-MUD-KING-01,MUD,005-MUD-KING-01-P4,MUD Oceanic Planet,Oceanic Planet,MUD,14
005-MUD-KING-01,MUD,005-MUD-KING-01-P5,MUD Gas Giant,Gas Giant,MUD,9
005-MUD-KING-01,MUD,005-MUD-KING-01-P6,MUD Terrestrial Planet,Terrestrial Planet,MUD,11
005-MUD-KING-01,MUD,005-MUD-KING-01-P7,MUD Dark Planet,Dark Planet,MUD,17
005-MUD-KING-01,MUD,005-MUD-KING-01-P8,MUD Ice Giant,Ice Giant,MUD,17
002-MUD-KING-01,MUD,002-MUD-KING-01-P1,MUD Dark Planet,Dark Planet,MUD,17
002-MUD-KING-01,MUD,002-MUD-KING-01-P2,MUD System Asteroid Belt,Asteroid Belt,MUD,14
002-MUD-KING-01,MUD,002-MUD-KING-01-P3,MUD Dark Planet,Dark Planet,MUD,17
002-MUD-KING-01,MUD,002-MUD-KING-01-P4,MUD Terrestrial Planet,Terrestrial Planet,MUD,11
002-MUD-KING-01,MUD,002-MUD-KING-01-P5,MUD System Asteroid Belt,Asteroid Belt,MUD,14
002-MUD-KING-01,MUD,002-MUD-KING-01-P6,MUD System Asteroid Belt,Asteroid Belt,MUD,14
002-MUD-KING-01,MUD,002-MUD-KING-01-P7,MUD Ice Giant,Ice Giant,MUD,17
003-MUD-KING-01,MUD,003-MUD-KING-01-P1,MUD Oceanic Planet,Oceanic Planet,MUD,14
003-MUD-KING-01,MUD,003-MUD-KING-01-P2,MUD Dark Planet,Dark Planet,MUD,17
003-MUD-KING-01,MUD,003-MUD-KING-01-P3,MUD Gas Giant,Gas Giant,MUD,9
003-MUD-KING-01,MUD,003-MUD-KING-01-P4,MUD Volcanic Planet,Volcanic Planet,MUD,17
003-MUD-KING-01,MUD,003-MUD-KING-01-P5,MUD Terrestrial Planet,Terrestrial Planet,MUD,11
