Asset,Type,Subtype,Config,Class,Qty,Ship Name
Captain (https://www.notion.so/Captain-2fe4d7c8d2574dd4b3bfb3bcaa520ecb?pvs=21),Crew,,,,1,Rainbow Arc
Navigator (https://www.notion.so/Navigator-12b110423c754524a11c3e0bdef50f5c?pvs=21),Crew,,,,1,Rainbow Arc
Pilot (https://www.notion.so/Pilot-27d1096841ce418dbb935215ddf2e60b?pvs=21),Crew,,,,1,Rainbow Arc
Operations Foreman (https://www.notion.so/Operations-Foreman-64b6b3d56da6444689fb4a60bcd748d5?pvs=21),Crew,,,,3,Rainbow Arc
Weapons Operator (https://www.notion.so/Weapons-Operator-a2b44b2e121444a0b51417c7cbeefbfe?pvs=21),Crew,,,,2,Rainbow Arc
Security Officer (https://www.notion.so/Security-Officer-cf2549feb71743c5930f1819ce6ad306?pvs=21),Crew,,,,2,Rainbow Arc
Engineering Officer (https://www.notion.so/Engineering-Officer-8cb4007c6b794afd8c52bd9ce89220ae?pvs=21),Crew,,,,2,Rainbow Arc
Rig Operator (https://www.notion.so/Rig-Operator-e85f9e6a96a84e338e8a25bd4a38caf8?pvs=21),Crew,,,,1,Rainbow Arc
Janitor (https://www.notion.so/Janitor-0fb7f82c26b54d3281d391fa81203c71?pvs=21),Crew,,,,1,Rainbow Arc
Command Station (https://www.notion.so/Command-Station-fc4c7a500407470db4d040a69eed31ee?pvs=21),Station,,,,1,Rainbow Arc
Flight Station (https://www.notion.so/Flight-Station-10ca52fc4d6c4f0a9718139127036fcf?pvs=21),Station,,,,2,Rainbow Arc
Operator Station (https://www.notion.so/Operator-Station-6fc5b5de0af04787ac000c31ebd9e953?pvs=21),Station,,,,3,Rainbow Arc
Engineering Station (https://www.notion.so/Engineering-Station-d37678d2cd9941118fb7eb3ee989dc67?pvs=21),Station,,,,1,Rainbow Arc
Power Core (https://www.notion.so/Power-Core-fec1491dcb4b4c849f07de274513a992?pvs=21),Component,Core,,Large,1,Rainbow Arc
Warp Drive (https://www.notion.so/Warp-Drive-dd8657c0b3d047da98782551469b61a2?pvs=21),Component,Core,,Large,1,Rainbow Arc
Subwarp Engine (https://www.notion.so/Subwarp-Engine-c3fbf18af39048afb1dcec4a3b8ec14d?pvs=21),Component,Core,,Large,1,Rainbow Arc
Maneuvering Thrusters (https://www.notion.so/Maneuvering-Thrusters-26f4163fe70a480fbbfb28bf2346e2ac?pvs=21),Component,Core,,Large,1,Rainbow Arc
Shield Generator (https://www.notion.so/Shield-Generator-22ff6250d678461da38ad5adee5234e9?pvs=21),Component,Core,,Large,1,Rainbow Arc
Heat Sink (https://www.notion.so/Heat-Sink-9a2ef32ff8014683b7c02b4856ba14ce?pvs=21),Component,Core,,Large,1,Rainbow Arc
Scanner Array (https://www.notion.so/Scanner-Array-7ff97074be804fbbbe57c465e952d9f2?pvs=21),Component,Core,,Large,1,Rainbow Arc
Tractor Beam (https://www.notion.so/Tractor-Beam-a53cadac3f5543b09057327e01ec30c6?pvs=21),Component,Core,,Large,1,Rainbow Arc
Hull Reinforcement (https://www.notion.so/Hull-Reinforcement-187f8583d7374ce3a191be8165a87ed9?pvs=21),Component,Core,,Large,1,Rainbow Arc
Fixed Hardpoint (https://www.notion.so/Fixed-Hardpoint-c8ac7684ffe14d53a34fbae51e2f4aa5?pvs=21),Component,Combat,,Medium,4,Rainbow Arc
Turret Hardpoint (https://www.notion.so/Turret-Hardpoint-3fa5870ccff5474e85f13cd3b13a6a7b?pvs=21),Component,Combat,,Small,2,Rainbow Arc
Missile Bay (https://www.notion.so/Missile-Bay-0b53fb061c8143b5b6c1d9ce6c98c4c0?pvs=21),Component,Combat,,Medium,1,Rainbow Arc
Countermeasure System (https://www.notion.so/Countermeasure-System-abc89ea959094c7ca59956d4fede2b6b?pvs=21),Component,Combat,,Large,1,Rainbow Arc
Countermeasure System (https://www.notion.so/Countermeasure-System-abc89ea959094c7ca59956d4fede2b6b?pvs=21),Component,Combat,,Medium,1,Rainbow Arc
Countermeasure System (https://www.notion.so/Countermeasure-System-abc89ea959094c7ca59956d4fede2b6b?pvs=21),Component,Combat,,Small,2,Rainbow Arc
Cargo Module (https://www.notion.so/Cargo-Module-790ddec5d1e4449494a5274787f043fa?pvs=21),Module,Swappable,Detail,Large,4,Rainbow Arc
Fuel Module (https://www.notion.so/Fuel-Module-120259914f1a4377bad3b7ffd3f42c9e?pvs=21),Module,Swappable,Detail,Large,2,Rainbow Arc
Bridge/Cockpit (https://www.notion.so/Bridge-Cockpit-58c0cce9dacd4c7db88eb19b790d9e07?pvs=21),Interior,Standard,Room,Large,1,Rainbow Arc
Mess Hall (https://www.notion.so/Mess-Hall-6061f42af5c042b28a473914bdb272b9?pvs=21),Interior,Standard,Detail,Medium,1,Rainbow Arc
Medical Bay (https://www.notion.so/Medical-Bay-13d23e3a67f0497fa060b2a027845122?pvs=21),Interior,Standard,Detail,Medium,1,Rainbow Arc
Crew Quarters (https://www.notion.so/Crew-Quarters-ddc27ec9f617429e93ce169ad305c3b1?pvs=21),Interior,Standard,Room,Large,1,Rainbow Arc
Engine Room (https://www.notion.so/Engine-Room-80a3855c943e483aa4c96c6ffb51938f?pvs=21),Interior,Standard,Room,Large,1,Rainbow Arc
Restroom (https://www.notion.so/Restroom-9d42fc8bb21740b0ae470f587c386454?pvs=21),Interior,Standard,Room,Medium,2,Rainbow Arc
Lift (https://www.notion.so/Lift-bb50cf0ec7584344bbbad5728bc2cf74?pvs=21),Interior,Standard,Detail,Large,1,Rainbow Arc
Escape Pods (https://www.notion.so/Escape-Pods-d4474c589707419dbbf5cbaf68209923?pvs=21),Interior,Standard,Detail,Large,7,Rainbow Arc
Cargo Hold (https://www.notion.so/Cargo-Hold-dbb8e39c2c1f460c80fee2bd7921fb49?pvs=21),Interior,Standard,Room,Large,3,Rainbow Arc
Lift (https://www.notion.so/Lift-bb50cf0ec7584344bbbad5728bc2cf74?pvs=21),Interior,Standard,Detail,Medium,2,Rainbow Arc
Scanner Suite (https://www.notion.so/Scanner-Suite-8047eca4383b459e9a233e6b1b076d9a?pvs=21),Interior,Functional,Detail,Medium,1,Rainbow Arc
Shopping Center (https://www.notion.so/Shopping-Center-15b967eac2e247e3961108d06d300ee0?pvs=21),Interior,Functional,Detail,Medium,1,Rainbow Arc
Workshop (https://www.notion.so/Workshop-11c62d39f06e4575a4bc0cb891d5aad6?pvs=21),Interior,Functional,Room,Large,1,Rainbow Arc
Smuggler’s Cache (https://www.notion.so/Smuggler-s-Cache-3e0fbad79a1e4e2babf30e37022a4406?pvs=21),Interior,Functional,Room,Medium,1,Rainbow Arc
Theater (https://www.notion.so/Theater-19e7883269fd4571b77bf13e35f3bae8?pvs=21),Interior,Activity,Detail,Medium,1,Rainbow Arc
