Asset,Type,Subtype,Config,Class,Qty,Ship Name
Captain (https://www.notion.so/Captain-2fe4d7c8d2574dd4b3bfb3bcaa520ecb?pvs=21),Crew,,,,1,Ogrika Jod Asteris
Navigator (https://www.notion.so/Navigator-12b110423c754524a11c3e0bdef50f5c?pvs=21),Crew,,,,2,Ogrika Jod Asteris
Pilot (https://www.notion.so/Pilot-27d1096841ce418dbb935215ddf2e60b?pvs=21),Crew,,,,2,Ogrika Jod Asteris
Medical Officer (https://www.notion.so/Medical-Officer-5f78e5c9252d4b77932ec0e1156b24d4?pvs=21),Crew,,,,4,Ogrika Jod Asteris
Science Officer (https://www.notion.so/Science-Officer-6b8678b28ffe44c8b2f0c06fcccb2c23?pvs=21),Crew,,,,6,Ogrika Jod Asteris
Chef (https://www.notion.so/Chef-9aceff085114485897f8ddfa65255c72?pvs=21),Crew,,,,3,Ogrika Jod Asteris
Security Officer (https://www.notion.so/Security-Officer-cf2549feb71743c5930f1819ce6ad306?pvs=21),Crew,,,,15,Ogrika Jod Asteris
Janitor (https://www.notion.so/Janitor-0fb7f82c26b54d3281d391fa81203c71?pvs=21),Crew,,,,7,Ogrika Jod Asteris
Hospitality Manager (https://www.notion.so/Hospitality-Manager-3d6934357bc646eb8689507f09ff087c?pvs=21),Crew,,,,7,Ogrika Jod Asteris
Retail Manager (https://www.notion.so/Retail-Manager-3e9b187311504e48af7aa8f254335c41?pvs=21),Crew,,,,1,Ogrika Jod Asteris
Engineering Officer (https://www.notion.so/Engineering-Officer-8cb4007c6b794afd8c52bd9ce89220ae?pvs=21),Crew,,,,4,Ogrika Jod Asteris
Rig Operator (https://www.notion.so/Rig-Operator-e85f9e6a96a84e338e8a25bd4a38caf8?pvs=21),Crew,,,,2,Ogrika Jod Asteris
Weapons Operator (https://www.notion.so/Weapons-Operator-a2b44b2e121444a0b51417c7cbeefbfe?pvs=21),Crew,,,,2,Ogrika Jod Asteris
Operations Foreman (https://www.notion.so/Operations-Foreman-64b6b3d56da6444689fb4a60bcd748d5?pvs=21),Crew,,,,3,Ogrika Jod Asteris
Entertainer (https://www.notion.so/Entertainer-27409120a25145c3b50d4f5febd8f9d2?pvs=21),Crew,,,,1,Ogrika Jod Asteris
Mixologist (https://www.notion.so/Mixologist-2c4f758e84884393bae09ac25663e600?pvs=21),Crew,,,,3,Ogrika Jod Asteris
