Asset,Type,Subtype,Config,Class,Qty,Ship Name
Captain (https://www.notion.so/Captain-2fe4d7c8d2574dd4b3bfb3bcaa520ecb?pvs=21),Crew,,,,1,Fimbul BYOS Butch
Navigator (https://www.notion.so/Navigator-12b110423c754524a11c3e0bdef50f5c?pvs=21),Crew,,,,1,Fimbul BYOS Butch
Pilot (https://www.notion.so/Pilot-27d1096841ce418dbb935215ddf2e60b?pvs=21),Crew,,,,1,Fimbul BYOS Butch
Rig Operator (https://www.notion.so/Rig-Operator-e85f9e6a96a84e338e8a25bd4a38caf8?pvs=21),Crew,,,,1,Fimbul BYOS Butch
Engineering Officer (https://www.notion.so/Engineering-Officer-8cb4007c6b794afd8c52bd9ce89220ae?pvs=21),Crew,,,,1,Fimbul BYOS Butch
Medical Officer (https://www.notion.so/Medical-Officer-5f78e5c9252d4b77932ec0e1156b24d4?pvs=21),Crew,,,,1,Fimbul BYOS Butch
Science Officer (https://www.notion.so/Science-Officer-6b8678b28ffe44c8b2f0c06fcccb2c23?pvs=21),Crew,,,,1,Fimbul BYOS Butch
Operations Foreman (https://www.notion.so/Operations-Foreman-64b6b3d56da6444689fb4a60bcd748d5?pvs=21),Crew,,,,1,Fimbul BYOS Butch
Weapons Operator (https://www.notion.so/Weapons-Operator-a2b44b2e121444a0b51417c7cbeefbfe?pvs=21),Crew,,,,4,Fimbul BYOS Butch
Security Officer (https://www.notion.so/Security-Officer-cf2549feb71743c5930f1819ce6ad306?pvs=21),Crew,,,,2,Fimbul BYOS Butch
Janitor (https://www.notion.so/Janitor-0fb7f82c26b54d3281d391fa81203c71?pvs=21),Crew,,,,1,Fimbul BYOS Butch
Command Station (https://www.notion.so/Command-Station-fc4c7a500407470db4d040a69eed31ee?pvs=21),Station,,,,1,Fimbul BYOS Butch
Flight Station (https://www.notion.so/Flight-Station-10ca52fc4d6c4f0a9718139127036fcf?pvs=21),Station,,,,2,Fimbul BYOS Butch
Scanning Station (https://www.notion.so/Scanning-Station-c65a840caf4542319f04a7d6f79375b5?pvs=21),Station,,,,1,Fimbul BYOS Butch
Operator Station (https://www.notion.so/Operator-Station-6fc5b5de0af04787ac000c31ebd9e953?pvs=21),Station,,,,8,Fimbul BYOS Butch
Medical Station (https://www.notion.so/Medical-Station-59551e94dab34b699fd14b8c58433824?pvs=21),Station,,,,1,Fimbul BYOS Butch
Engineering Station (https://www.notion.so/Engineering-Station-d37678d2cd9941118fb7eb3ee989dc67?pvs=21),Station,,,,1,Fimbul BYOS Butch
Power Core (https://www.notion.so/Power-Core-fec1491dcb4b4c849f07de274513a992?pvs=21),Component,Core,,Large,1,Fimbul BYOS Butch
Warp Drive (https://www.notion.so/Warp-Drive-dd8657c0b3d047da98782551469b61a2?pvs=21),Component,Core,,Large,1,Fimbul BYOS Butch
Subwarp Engine (https://www.notion.so/Subwarp-Engine-c3fbf18af39048afb1dcec4a3b8ec14d?pvs=21),Component,Core,,Large,1,Fimbul BYOS Butch
