Asset,Type,Subtype,Config,Class,Qty,Ship Name
Navigator (https://www.notion.so/Navigator-12b110423c754524a11c3e0bdef50f5c?pvs=21),Crew,,,,1,Calico Evac
Pilot (https://www.notion.so/Pilot-27d1096841ce418dbb935215ddf2e60b?pvs=21),Crew,,,,1,Calico Evac
Medical Officer (https://www.notion.so/Medical-Officer-5f78e5c9252d4b77932ec0e1156b24d4?pvs=21),Crew,,,,2,Calico Evac
Rig Operator (https://www.notion.so/Rig-Operator-e85f9e6a96a84e338e8a25bd4a38caf8?pvs=21),Crew,,,,1,Calico Evac
Flight Station (https://www.notion.so/Flight-Station-10ca52fc4d6c4f0a9718139127036fcf?pvs=21),Station,,,,2,Calico Evac
Operator Station (https://www.notion.so/Operator-Station-6fc5b5de0af04787ac000c31ebd9e953?pvs=21),Station,,,,3,Calico Evac
Medical Station (https://www.notion.so/Medical-Station-59551e94dab34b699fd14b8c58433824?pvs=21),Station,,,,1,Calico Evac
Power Core (https://www.notion.so/Power-Core-fec1491dcb4b4c849f07de274513a992?pvs=21),Component,Core,,Medium,1,Calico Evac
Warp Drive (https://www.notion.so/Warp-Drive-dd8657c0b3d047da98782551469b61a2?pvs=21),Component,Core,,Medium,1,Calico Evac
Subwarp Engine (https://www.notion.so/Subwarp-Engine-c3fbf18af39048afb1dcec4a3b8ec14d?pvs=21),Component,Core,,Medium,1,Calico Evac
Maneuvering Thrusters (https://www.notion.so/Maneuvering-Thrusters-26f4163fe70a480fbbfb28bf2346e2ac?pvs=21),Component,Core,,Medium,1,Calico Evac
Shield Generator (https://www.notion.so/Shield-Generator-22ff6250d678461da38ad5adee5234e9?pvs=21),Component,Core,,Medium,1,Calico Evac
Heat Sink (https://www.notion.so/Heat-Sink-9a2ef32ff8014683b7c02b4856ba14ce?pvs=21),Component,Core,,Medium,1,Calico Evac
Scanner Array (https://www.notion.so/Scanner-Array-7ff97074be804fbbbe57c465e952d9f2?pvs=21),Component,Core,,Medium,1,Calico Evac
Tractor Beam (https://www.notion.so/Tractor-Beam-a53cadac3f5543b09057327e01ec30c6?pvs=21),Component,Core,,Medium,1,Calico Evac
Hull Reinforcement (https://www.notion.so/Hull-Reinforcement-187f8583d7374ce3a191be8165a87ed9?pvs=21),Component,Core,,Medium,1,Calico Evac
Fixed Hardpoint (https://www.notion.so/Fixed-Hardpoint-c8ac7684ffe14d53a34fbae51e2f4aa5?pvs=21),Component,Combat,,Small,2,Calico Evac
Fixed Hardpoint (https://www.notion.so/Fixed-Hardpoint-c8ac7684ffe14d53a34fbae51e2f4aa5?pvs=21),Component,Combat,,X-Small,2,Calico Evac
Turret Hardpoint (https://www.notion.so/Turret-Hardpoint-3fa5870ccff5474e85f13cd3b13a6a7b?pvs=21),Component,Combat,,Small,2,Calico Evac
Missile Bay (https://www.notion.so/Missile-Bay-0b53fb061c8143b5b6c1d9ce6c98c4c0?pvs=21),Component,Combat,,Small,2,Calico Evac
Countermeasure System (https://www.notion.so/Countermeasure-System-abc89ea959094c7ca59956d4fede2b6b?pvs=21),Component,Combat,,Medium,1,Calico Evac
Countermeasure System (https://www.notion.so/Countermeasure-System-abc89ea959094c7ca59956d4fede2b6b?pvs=21),Component,Combat,,Small,1,Calico Evac
Countermeasure System (https://www.notion.so/Countermeasure-System-abc89ea959094c7ca59956d4fede2b6b?pvs=21),Component,Combat,,X-Small,2,Calico Evac
Drone Port (https://www.notion.so/Drone-Port-d86333c6b0ef409aa452ec865f202882?pvs=21),Component,Utility,,Medium,1,Calico Evac
Rescue Rig (https://www.notion.so/Rescue-Rig-0030c036a9854a6982e29de827f0d87f?pvs=21),Component,Utility,,Medium,1,Calico Evac
Fuel Module (https://www.notion.so/Fuel-Module-120259914f1a4377bad3b7ffd3f42c9e?pvs=21),Module,Swappable,Detail,Medium,1,Calico Evac
Cargo Module (https://www.notion.so/Cargo-Module-790ddec5d1e4449494a5274787f043fa?pvs=21),Module,Swappable,Detail,Medium,1,Calico Evac
Passenger Module (https://www.notion.so/Passenger-Module-5f0accb87611424a822f2c4b552a0759?pvs=21),Module,Swappable,Detail,Medium,2,Calico Evac
Bridge/Cockpit (https://www.notion.so/Bridge-Cockpit-58c0cce9dacd4c7db88eb19b790d9e07?pvs=21),Interior,Standard,Room,Medium,1,Calico Evac
Mess Hall (https://www.notion.so/Mess-Hall-6061f42af5c042b28a473914bdb272b9?pvs=21),Interior,Standard,Detail,Medium,1,Calico Evac
