Asset,Type,Subtype,Config,Class,Qty,Ship Name
Admiral (https://www.notion.so/Admiral-046cf28553c7415dac6eb45d7234ece4?pvs=21),Crew,,,,1,Fimbul BYOS Gallowspine
Commander (https://www.notion.so/Commander-969a6aba06854b918793d714611271b2?pvs=21),Crew,,,,2,Fimbul BYOS Gallowspine
Captain (https://www.notion.so/Captain-2fe4d7c8d2574dd4b3bfb3bcaa520ecb?pvs=21),Crew,,,,3,Fimbul BYOS Gallowspine
Pilot (https://www.notion.so/Pilot-27d1096841ce418dbb935215ddf2e60b?pvs=21),Crew,,,,4,Fimbul BYOS Gallowspine
Navigator (https://www.notion.so/Navigator-12b110423c754524a11c3e0bdef50f5c?pvs=21),Crew,,,,4,Fimbul BYOS Gallowspine
Clerical Officer (https://www.notion.so/Clerical-Officer-3707864fc808467bbc368b1b85c6bd1a?pvs=21),Crew,,,,2,Fimbul BYOS Gallowspine
Engineering Officer (https://www.notion.so/Engineering-Officer-8cb4007c6b794afd8c52bd9ce89220ae?pvs=21),Crew,,,,36,Fimbul BYOS Gallowspine
Medical Officer (https://www.notion.so/Medical-Officer-5f78e5c9252d4b77932ec0e1156b24d4?pvs=21),Crew,,,,16,Fimbul BYOS Gallowspine
Science Officer (https://www.notion.so/Science-Officer-6b8678b28ffe44c8b2f0c06fcccb2c23?pvs=21),Crew,,,,18,Fimbul BYOS Gallowspine
Security Officer (https://www.notion.so/Security-Officer-cf2549feb71743c5930f1819ce6ad306?pvs=21),Crew,,,,42,Fimbul BYOS Gallowspine
Drone Operator (https://www.notion.so/Drone-Operator-f5ea0d2d968d4d76806dc1f3b071a344?pvs=21),Crew,,,,4,Fimbul BYOS Gallowspine
Rig Operator (https://www.notion.so/Rig-Operator-e85f9e6a96a84e338e8a25bd4a38caf8?pvs=21),Crew,,,,6,Fimbul BYOS Gallowspine
Weapons Operator (https://www.notion.so/Weapons-Operator-a2b44b2e121444a0b51417c7cbeefbfe?pvs=21),Crew,,,,26,Fimbul BYOS Gallowspine
Operations Foreman (https://www.notion.so/Operations-Foreman-64b6b3d56da6444689fb4a60bcd748d5?pvs=21),Crew,,,,22,Fimbul BYOS Gallowspine
Cultural Manager (https://www.notion.so/Cultural-Manager-983f2ca3165f4790b914baa58750d030?pvs=21),Crew,,,,2,Fimbul BYOS Gallowspine
Hospitality Manager (https://www.notion.so/Hospitality-Manager-3d6934357bc646eb8689507f09ff087c?pvs=21),Crew,,,,7,Fimbul BYOS Gallowspine
Recreation Manager (https://www.notion.so/Recreation-Manager-641c35f6b9064861ab853d1944c22f2c?pvs=21),Crew,,,,8,Fimbul BYOS Gallowspine
Retail Manager (https://www.notion.so/Retail-Manager-3e9b187311504e48af7aa8f254335c41?pvs=21),Crew,,,,2,Fimbul BYOS Gallowspine
Chef (https://www.notion.so/Chef-9aceff085114485897f8ddfa65255c72?pvs=21),Crew,,,,6,Fimbul BYOS Gallowspine
Janitor (https://www.notion.so/Janitor-0fb7f82c26b54d3281d391fa81203c71?pvs=21),Crew,,,,22,Fimbul BYOS Gallowspine
Mixologist (https://www.notion.so/Mixologist-2c4f758e84884393bae09ac25663e600?pvs=21),Crew,,,,3,Fimbul BYOS Gallowspine
Command Station (https://www.notion.so/Command-Station-fc4c7a500407470db4d040a69eed31ee?pvs=21),Station,,,,3,Fimbul BYOS Gallowspine
Flight Station (https://www.notion.so/Flight-Station-10ca52fc4d6c4f0a9718139127036fcf?pvs=21),Station,,,,5,Fimbul BYOS Gallowspine
Scanning Station (https://www.notion.so/Scanning-Station-c65a840caf4542319f04a7d6f79375b5?pvs=21),Station,,,,4,Fimbul BYOS Gallowspine
Operator Station (https://www.notion.so/Operator-Station-6fc5b5de0af04787ac000c31ebd9e953?pvs=21),Station,,,,32,Fimbul BYOS Gallowspine
Medical Station (https://www.notion.so/Medical-Station-59551e94dab34b699fd14b8c58433824?pvs=21),Station,,,,7,Fimbul BYOS Gallowspine
