Asset,Type,Subtype,Config,Class,Qty,Ship Name
Engineering Officer (https://www.notion.so/Engineering-Officer-8cb4007c6b794afd8c52bd9ce89220ae?pvs=21),Crew,,,,1,Fimbul BYOS Packlite
Navigator (https://www.notion.so/Navigator-12b110423c754524a11c3e0bdef50f5c?pvs=21),Crew,,,,1,Fimbul BYOS Packlite
Pilot (https://www.notion.so/Pilot-27d1096841ce418dbb935215ddf2e60b?pvs=21),Crew,,,,1,Fimbul BYOS Packlite
Weapons Operator (https://www.notion.so/Weapons-Operator-a2b44b2e121444a0b51417c7cbeefbfe?pvs=21),Crew,,,,2,Fimbul BYOS Packlite
Engineering Station (https://www.notion.so/Engineering-Station-d37678d2cd9941118fb7eb3ee989dc67?pvs=21),Station,,,,1,Fimbul BYOS Packlite
Flight Station (https://www.notion.so/Flight-Station-10ca52fc4d6c4f0a9718139127036fcf?pvs=21),Station,,,,2,Fimbul BYOS Packlite
Operator Station (https://www.notion.so/Operator-Station-6fc5b5de0af04787ac000c31ebd9e953?pvs=21),Station,,,,2,Fimbul BYOS Packlite
Power Core (https://www.notion.so/Power-Core-fec1491dcb4b4c849f07de274513a992?pvs=21),Component,Core,,Medium,1,Fimbul BYOS Packlite
Warp Drive (https://www.notion.so/Warp-Drive-dd8657c0b3d047da98782551469b61a2?pvs=21),Component,Core,,Medium,1,Fimbul BYOS Packlite
Subwarp Engine (https://www.notion.so/Subwarp-Engine-c3fbf18af39048afb1dcec4a3b8ec14d?pvs=21),Component,Core,,Medium,1,Fimbul BYOS Packlite
Maneuvering Thrusters (https://www.notion.so/Maneuvering-Thrusters-26f4163fe70a480fbbfb28bf2346e2ac?pvs=21),Component,Core,,Medium,1,Fimbul BYOS Packlite
Shield Generator (https://www.notion.so/Shield-Generator-22ff6250d678461da38ad5adee5234e9?pvs=21),Component,Core,,Medium,1,Fimbul BYOS Packlite
Heat Sink (https://www.notion.so/Heat-Sink-9a2ef32ff8014683b7c02b4856ba14ce?pvs=21),Component,Core,,Medium,1,Fimbul BYOS Packlite
Scanner Array (https://www.notion.so/Scanner-Array-7ff97074be804fbbbe57c465e952d9f2?pvs=21),Component,Core,,Medium,1,Fimbul BYOS Packlite
Tractor Beam (https://www.notion.so/Tractor-Beam-a53cadac3f5543b09057327e01ec30c6?pvs=21),Component,Core,,Medium,1,Fimbul BYOS Packlite
Hull Reinforcement (https://www.notion.so/Hull-Reinforcement-187f8583d7374ce3a191be8165a87ed9?pvs=21),Component,Core,,Medium,1,Fimbul BYOS Packlite
Fixed Hardpoint (https://www.notion.so/Fixed-Hardpoint-c8ac7684ffe14d53a34fbae51e2f4aa5?pvs=21),Component,Combat,,Medium,2,Fimbul BYOS Packlite
Turret Hardpoint (https://www.notion.so/Turret-Hardpoint-3fa5870ccff5474e85f13cd3b13a6a7b?pvs=21),Component,Combat,,X-Small,2,Fimbul BYOS Packlite
Missile Bay (https://www.notion.so/Missile-Bay-0b53fb061c8143b5b6c1d9ce6c98c4c0?pvs=21),Component,Combat,,Small,1,Fimbul BYOS Packlite
Countermeasure System (https://www.notion.so/Countermeasure-System-abc89ea959094c7ca59956d4fede2b6b?pvs=21),Component,Combat,,Medium,1,Fimbul BYOS Packlite
Countermeasure System (https://www.notion.so/Countermeasure-System-abc89ea959094c7ca59956d4fede2b6b?pvs=21),Component,Combat,,Small,2,Fimbul BYOS Packlite
