Asset,Type,Subtype,Config,Class,Qty,Ship Name
Pilot (https://www.notion.so/Pilot-27d1096841ce418dbb935215ddf2e60b?pvs=21),Crew,,,,1,Fimbul BYOS Ranger
Navigator (https://www.notion.so/Navigator-12b110423c754524a11c3e0bdef50f5c?pvs=21),Crew,,,,1,Fimbul BYOS Ranger
Science Officer (https://www.notion.so/Science-Officer-6b8678b28ffe44c8b2f0c06fcccb2c23?pvs=21),Crew,,,,1,Fimbul BYOS Ranger
Weapons Operator (https://www.notion.so/Weapons-Operator-a2b44b2e121444a0b51417c7cbeefbfe?pvs=21),Crew,,,,2,Fimbul BYOS Ranger
Flight Station (https://www.notion.so/Flight-Station-10ca52fc4d6c4f0a9718139127036fcf?pvs=21),Station,,,,2,Fimbul BYOS Ranger
Operator Station (https://www.notion.so/Operator-Station-6fc5b5de0af04787ac000c31ebd9e953?pvs=21),Station,,,,2,Fimbul BYOS Ranger
Scanning Station (https://www.notion.so/Scanning-Station-c65a840caf4542319f04a7d6f79375b5?pvs=21),Station,,,,1,Fimbul BYOS Ranger
Power Core (https://www.notion.so/Power-Core-fec1491dcb4b4c849f07de274513a992?pvs=21),Component,Core,,Medium,1,Fimbul BYOS Ranger
Shield Generator (https://www.notion.so/Shield-Generator-22ff6250d678461da38ad5adee5234e9?pvs=21),Component,Core,,Medium,1,Fimbul BYOS Ranger
Hull Reinforcement (https://www.notion.so/Hull-Reinforcement-187f8583d7374ce3a191be8165a87ed9?pvs=21),Component,Core,,Medium,1,Fimbul BYOS Ranger
Warp Drive (https://www.notion.so/Warp-Drive-dd8657c0b3d047da98782551469b61a2?pvs=21),Component,Core,,Medium,1,Fimbul BYOS Ranger
Subwarp Engine (https://www.notion.so/Subwarp-Engine-c3fbf18af39048afb1dcec4a3b8ec14d?pvs=21),Component,Core,,Medium,1,Fimbul BYOS Ranger
Maneuvering Thrusters (https://www.notion.so/Maneuvering-Thrusters-26f4163fe70a480fbbfb28bf2346e2ac?pvs=21),Component,Core,,Medium,1,Fimbul BYOS Ranger
Heat Sink (https://www.notion.so/Heat-Sink-9a2ef32ff8014683b7c02b4856ba14ce?pvs=21),Component,Core,,Medium,1,Fimbul BYOS Ranger
Scanner Array (https://www.notion.so/Scanner-Array-7ff97074be804fbbbe57c465e952d9f2?pvs=21),Component,Core,,Medium,1,Fimbul BYOS Ranger
Tractor Beam (https://www.notion.so/Tractor-Beam-a53cadac3f5543b09057327e01ec30c6?pvs=21),Component,Core,,Medium,1,Fimbul BYOS Ranger
Fixed Hardpoint (https://www.notion.so/Fixed-Hardpoint-c8ac7684ffe14d53a34fbae51e2f4aa5?pvs=21),Component,Combat,,Small,3,Fimbul BYOS Ranger
Turret Hardpoint (https://www.notion.so/Turret-Hardpoint-3fa5870ccff5474e85f13cd3b13a6a7b?pvs=21),Component,Combat,,Medium,1,Fimbul BYOS Ranger
Missile Bay (https://www.notion.so/Missile-Bay-0b53fb061c8143b5b6c1d9ce6c98c4c0?pvs=21),Component,Combat,,Small,2,Fimbul BYOS Ranger
Countermeasure System (https://www.notion.so/Countermeasure-System-abc89ea959094c7ca59956d4fede2b6b?pvs=21),Component,Combat,,Medium,1,Fimbul BYOS Ranger
Countermeasure System (https://www.notion.so/Countermeasure-System-abc89ea959094c7ca59956d4fede2b6b?pvs=21),Component,Combat,,Small,2,Fimbul BYOS Ranger
Drone Port (https://www.notion.so/Drone-Port-d86333c6b0ef409aa452ec865f202882?pvs=21),Component,Utility,,Small,2,Fimbul BYOS Ranger
Cargo Module (https://www.notion.so/Cargo-Module-790ddec5d1e4449494a5274787f043fa?pvs=21),Module,Swappable,Detail,Medium,1,Fimbul BYOS Ranger
Fuel Module (https://www.notion.so/Fuel-Module-120259914f1a4377bad3b7ffd3f42c9e?pvs=21),Module,Swappable,Detail,Medium,3,Fimbul BYOS Ranger
Bridge/Cockpit (https://www.notion.so/Bridge-Cockpit-58c0cce9dacd4c7db88eb19b790d9e07?pvs=21),Interior,Standard,Room,Medium,1,Fimbul BYOS Ranger
Mess Hall (https://www.notion.so/Mess-Hall-6061f42af5c042b28a473914bdb272b9?pvs=21),Interior,Standard,Detail,Medium,1,Fimbul BYOS Ranger
Crew Quarters (https://www.notion.so/Crew-Quarters-ddc27ec9f617429e93ce169ad305c3b1?pvs=21),Interior,Standard,Room,Medium,1,Fimbul BYOS Ranger
Restroom (https://www.notion.so/Restroom-9d42fc8bb21740b0ae470f587c386454?pvs=21),Interior,Standard,Room,Small,1,Fimbul BYOS Ranger
Lift (https://www.notion.so/Lift-bb50cf0ec7584344bbbad5728bc2cf74?pvs=21),Interior,Standard,Detail,Medium,1,Fimbul BYOS Ranger
