Asset,Type,Subtype,Config,Class,Qty,Ship Name
Captain (https://www.notion.so/Captain-2fe4d7c8d2574dd4b3bfb3bcaa520ecb?pvs=21),Crew,,,,1,Fimbul Sledbarge
Pilot (https://www.notion.so/Pilot-27d1096841ce418dbb935215ddf2e60b?pvs=21),Crew,,,,2,Fimbul Sledbarge
Navigator (https://www.notion.so/Navigator-12b110423c754524a11c3e0bdef50f5c?pvs=21),Crew,,,,2,Fimbul Sledbarge
Engineering Officer (https://www.notion.so/Engineering-Officer-8cb4007c6b794afd8c52bd9ce89220ae?pvs=21),Crew,,,,6,Fimbul Sledbarge
Medical Officer (https://www.notion.so/Medical-Officer-5f78e5c9252d4b77932ec0e1156b24d4?pvs=21),Crew,,,,3,Fimbul Sledbarge
Science Officer (https://www.notion.so/Science-Officer-6b8678b28ffe44c8b2f0c06fcccb2c23?pvs=21),Crew,,,,2,Fimbul Sledbarge
Security Officer (https://www.notion.so/Security-Officer-cf2549feb71743c5930f1819ce6ad306?pvs=21),Crew,,,,8,Fimbul Sledbarge
Rig Operator (https://www.notion.so/Rig-Operator-e85f9e6a96a84e338e8a25bd4a38caf8?pvs=21),Crew,,,,2,Fimbul Sledbarge
Weapons Operator (https://www.notion.so/Weapons-Operator-a2b44b2e121444a0b51417c7cbeefbfe?pvs=21),Crew,,,,2,Fimbul Sledbarge
Operations Foreman (https://www.notion.so/Operations-Foreman-64b6b3d56da6444689fb4a60bcd748d5?pvs=21),Crew,,,,6,Fimbul Sledbarge
Retail Manager (https://www.notion.so/Retail-Manager-3e9b187311504e48af7aa8f254335c41?pvs=21),Crew,,,,1,Fimbul Sledbarge
Chef (https://www.notion.so/Chef-9aceff085114485897f8ddfa65255c72?pvs=21),Crew,,,,1,Fimbul Sledbarge
Mixologist (https://www.notion.so/Mixologist-2c4f758e84884393bae09ac25663e600?pvs=21),Crew,,,,1,Fimbul Sledbarge
Janitor (https://www.notion.so/Janitor-0fb7f82c26b54d3281d391fa81203c71?pvs=21),Crew,,,,4,Fimbul Sledbarge
Command Station (https://www.notion.so/Command-Station-fc4c7a500407470db4d040a69eed31ee?pvs=21),Station,,,,1,Fimbul Sledbarge
Engineering Station (https://www.notion.so/Engineering-Station-d37678d2cd9941118fb7eb3ee989dc67?pvs=21),Station,,,,2,Fimbul Sledbarge
Flight Station (https://www.notion.so/Flight-Station-10ca52fc4d6c4f0a9718139127036fcf?pvs=21),Station,,,,2,Fimbul Sledbarge
Hospitality Station (https://www.notion.so/Hospitality-Station-9f2ff753cde349449c3a89256b5e2e56?pvs=21),Station,,,,1,Fimbul Sledbarge
Medical Station (https://www.notion.so/Medical-Station-59551e94dab34b699fd14b8c58433824?pvs=21),Station,,,,2,Fimbul Sledbarge
Operator Station (https://www.notion.so/Operator-Station-6fc5b5de0af04787ac000c31ebd9e953?pvs=21),Station,,,,3,Fimbul Sledbarge
Power Core (https://www.notion.so/Power-Core-fec1491dcb4b4c849f07de274513a992?pvs=21),Component,Core,,Capital,1,Fimbul Sledbarge
Shield Generator (https://www.notion.so/Shield-Generator-22ff6250d678461da38ad5adee5234e9?pvs=21),Component,Core,,Capital,1,Fimbul Sledbarge
Hull Reinforcement (https://www.notion.so/Hull-Reinforcement-187f8583d7374ce3a191be8165a87ed9?pvs=21),Component,Core,,Capital,1,Fimbul Sledbarge
Warp Drive (https://www.notion.so/Warp-Drive-dd8657c0b3d047da98782551469b61a2?pvs=21),Component,Core,,Capital,1,Fimbul Sledbarge
Subwarp Engine (https://www.notion.so/Subwarp-Engine-c3fbf18af39048afb1dcec4a3b8ec14d?pvs=21),Component,Core,,Capital,1,Fimbul Sledbarge
Maneuvering Thrusters (https://www.notion.so/Maneuvering-Thrusters-26f4163fe70a480fbbfb28bf2346e2ac?pvs=21),Component,Core,,Capital,1,Fimbul Sledbarge
Heat Sink (https://www.notion.so/Heat-Sink-9a2ef32ff8014683b7c02b4856ba14ce?pvs=21),Component,Core,,Capital,1,Fimbul Sledbarge
Scanner Array (https://www.notion.so/Scanner-Array-7ff97074be804fbbbe57c465e952d9f2?pvs=21),Component,Core,,Capital,1,Fimbul Sledbarge
Tractor Beam (https://www.notion.so/Tractor-Beam-a53cadac3f5543b09057327e01ec30c6?pvs=21),Component,Core,,Capital,1,Fimbul Sledbarge
Fixed Hardpoint (https://www.notion.so/Fixed-Hardpoint-c8ac7684ffe14d53a34fbae51e2f4aa5?pvs=21),Component,Combat,,Large,1,Fimbul Sledbarge
Turret Hardpoint (https://www.notion.so/Turret-Hardpoint-3fa5870ccff5474e85f13cd3b13a6a7b?pvs=21),Component,Combat,,Large,2,Fimbul Sledbarge
Missile Bay (https://www.notion.so/Missile-Bay-0b53fb061c8143b5b6c1d9ce6c98c4c0?pvs=21),Component,Combat,,Medium,2,Fimbul Sledbarge
Countermeasure System (https://www.notion.so/Countermeasure-System-abc89ea959094c7ca59956d4fede2b6b?pvs=21),Component,Combat,,Large,4,Fimbul Sledbarge
Cargo Module (https://www.notion.so/Cargo-Module-790ddec5d1e4449494a5274787f043fa?pvs=21),Module,Swappable,Room,Capital,6,Fimbul Sledbarge
Fuel Module (https://www.notion.so/Fuel-Module-120259914f1a4377bad3b7ffd3f42c9e?pvs=21),Module,Swappable,Room,Capital,2,Fimbul Sledbarge
Bridge/Cockpit (https://www.notion.so/Bridge-Cockpit-58c0cce9dacd4c7db88eb19b790d9e07?pvs=21),Interior,Standard,Room,Capital,1,Fimbul Sledbarge
Ready Room (https://www.notion.so/Ready-Room-b68142a0a3ef45e58d36e5300ec8b75c?pvs=21),Interior,Standard,Room,Large,1,Fimbul Sledbarge
Mess Hall (https://www.notion.so/Mess-Hall-6061f42af5c042b28a473914bdb272b9?pvs=21),Interior,Standard,Room,Capital,1,Fimbul Sledbarge
Crew Quarters (https://www.notion.so/Crew-Quarters-ddc27ec9f617429e93ce169ad305c3b1?pvs=21),Interior,Standard,Room,Large,2,Fimbul Sledbarge
Officers Quarters (https://www.notion.so/Officers-Quarters-4abe56cbd02741a48ac77b7e11a9722c?pvs=21),Interior,Standard,Room,Large,1,Fimbul Sledbarge
Restroom (https://www.notion.so/Restroom-9d42fc8bb21740b0ae470f587c386454?pvs=21),Interior,Standard,Room,Medium,4,Fimbul Sledbarge
Lift (https://www.notion.so/Lift-bb50cf0ec7584344bbbad5728bc2cf74?pvs=21),Interior,Standard,Room,Capital,1,Fimbul Sledbarge
Tram (https://www.notion.so/Tram-54b15a8d1a954e73b537a8b06e2fc82c?pvs=21),Interior,Standard,Room,Capital,1,Fimbul Sledbarge
Medical Bay (https://www.notion.so/Medical-Bay-13d23e3a67f0497fa060b2a027845122?pvs=21),Interior,Standard,Room,Capital,1,Fimbul Sledbarge
Cargo Hold (https://www.notion.so/Cargo-Hold-dbb8e39c2c1f460c80fee2bd7921fb49?pvs=21),Interior,Standard,Room,Capital,3,Fimbul Sledbarge
Escape Pods (https://www.notion.so/Escape-Pods-d4474c589707419dbbf5cbaf68209923?pvs=21),Interior,Standard,Detail,Capital,16,Fimbul Sledbarge
Engine Room (https://www.notion.so/Engine-Room-80a3855c943e483aa4c96c6ffb51938f?pvs=21),Interior,Standard,Room,Capital,1,Fimbul Sledbarge
Lift (https://www.notion.so/Lift-bb50cf0ec7584344bbbad5728bc2cf74?pvs=21),Interior,Standard,Room,Large,4,Fimbul Sledbarge
Armory (https://www.notion.so/Armory-12653f39dd4043f2bc1c4bfc9f9b7bf6?pvs=21),Interior,Functional,Room,Large,1,Fimbul Sledbarge
Landing Pad (https://www.notion.so/Landing-Pad-f8cf7c338ca54d649683ac4dfdeb5ca5?pvs=21),Interior,Functional,Detail,Capital,4,Fimbul Sledbarge
Scanner Suite (https://www.notion.so/Scanner-Suite-8047eca4383b459e9a233e6b1b076d9a?pvs=21),Interior,Functional,Detail,Large,1,Fimbul Sledbarge
Workshop (https://www.notion.so/Workshop-11c62d39f06e4575a4bc0cb891d5aad6?pvs=21),Interior,Functional,Room,Capital,1,Fimbul Sledbarge
Arcade (https://www.notion.so/Arcade-b7959e22348f4819836ac356fb85bf74?pvs=21),Interior,Activity,Room,Large,2,Fimbul Sledbarge
Gymnasium (https://www.notion.so/Gymnasium-a2e327863acb4c4f8ec5055fa79b7d9e?pvs=21),Interior,Activity,Room,Large,1,Fimbul Sledbarge
Shopping Center (https://www.notion.so/Shopping-Center-15b967eac2e247e3961108d06d300ee0?pvs=21),Interior,Activity,Room,Capital,1,Fimbul Sledbarge
Theater (https://www.notion.so/Theater-19e7883269fd4571b77bf13e35f3bae8?pvs=21),Interior,Activity,Room,Large,1,Fimbul Sledbarge
Library (https://www.notion.so/Library-7f4704ab182744638f8864488af909d7?pvs=21),Interior,Leisure,Room,Medium,1,Fimbul Sledbarge
Shrine/Chapel (https://www.notion.so/Shrine-Chapel-8d5144c5c4de49358cc0efbdd2fc00ae?pvs=21),Interior,Leisure,Room,Medium,1,Fimbul Sledbarge
