Asset,Type,Subtype,Config,Class,Qty,Ship Name
Admiral (https://www.notion.so/Admiral-046cf28553c7415dac6eb45d7234ece4?pvs=21),Crew,,,,1,Fimbul ECOS Superphoenix
Commander (https://www.notion.so/Commander-969a6aba06854b918793d714611271b2?pvs=21),Crew,,,,2,Fimbul ECOS Superphoenix
Captain (https://www.notion.so/Captain-2fe4d7c8d2574dd4b3bfb3bcaa520ecb?pvs=21),Crew,,,,5,Fimbul ECOS Superphoenix
Navigator (https://www.notion.so/Navigator-12b110423c754524a11c3e0bdef50f5c?pvs=21),Crew,,,,8,Fimbul ECOS Superphoenix
Pilot (https://www.notion.so/Pilot-27d1096841ce418dbb935215ddf2e60b?pvs=21),Crew,,,,8,Fimbul ECOS Superphoenix
Medical Officer (https://www.notion.so/Medical-Officer-5f78e5c9252d4b77932ec0e1156b24d4?pvs=21),Crew,,,,17,Fimbul ECOS Superphoenix
Drone Operator (https://www.notion.so/Drone-Operator-f5ea0d2d968d4d76806dc1f3b071a344?pvs=21),Crew,,,,9,Fimbul ECOS Superphoenix
Engineering Officer (https://www.notion.so/Engineering-Officer-8cb4007c6b794afd8c52bd9ce89220ae?pvs=21),Crew,,,,32,Fimbul ECOS Superphoenix
Weapons Operator (https://www.notion.so/Weapons-Operator-a2b44b2e121444a0b51417c7cbeefbfe?pvs=21),Crew,,,,16,Fimbul ECOS Superphoenix
Rig Operator (https://www.notion.so/Rig-Operator-e85f9e6a96a84e338e8a25bd4a38caf8?pvs=21),Crew,,,,4,Fimbul ECOS Superphoenix
Chef (https://www.notion.so/Chef-9aceff085114485897f8ddfa65255c72?pvs=21),Crew,,,,11,Fimbul ECOS Superphoenix
Operations Foreman (https://www.notion.so/Operations-Foreman-64b6b3d56da6444689fb4a60bcd748d5?pvs=21),Crew,,,,22,Fimbul ECOS Superphoenix
Security Officer (https://www.notion.so/Security-Officer-cf2549feb71743c5930f1819ce6ad306?pvs=21),Crew,,,,80,Fimbul ECOS Superphoenix
Janitor (https://www.notion.so/Janitor-0fb7f82c26b54d3281d391fa81203c71?pvs=21),Crew,,,,19,Fimbul ECOS Superphoenix
Science Officer (https://www.notion.so/Science-Officer-6b8678b28ffe44c8b2f0c06fcccb2c23?pvs=21),Crew,,,,56,Fimbul ECOS Superphoenix
Clerical Officer (https://www.notion.so/Clerical-Officer-3707864fc808467bbc368b1b85c6bd1a?pvs=21),Crew,,,,1,Fimbul ECOS Superphoenix
Hospitality Manager (https://www.notion.so/Hospitality-Manager-3d6934357bc646eb8689507f09ff087c?pvs=21),Crew,,,,11,Fimbul ECOS Superphoenix
Retail Manager (https://www.notion.so/Retail-Manager-3e9b187311504e48af7aa8f254335c41?pvs=21),Crew,,,,4,Fimbul ECOS Superphoenix
Recreation Manager (https://www.notion.so/Recreation-Manager-641c35f6b9064861ab853d1944c22f2c?pvs=21),Crew,,,,14,Fimbul ECOS Superphoenix
Mixologist (https://www.notion.so/Mixologist-2c4f758e84884393bae09ac25663e600?pvs=21),Crew,,,,15,Fimbul ECOS Superphoenix
Entertainer (https://www.notion.so/Entertainer-27409120a25145c3b50d4f5febd8f9d2?pvs=21),Crew,,,,7,Fimbul ECOS Superphoenix
Cultural Manager (https://www.notion.so/Cultural-Manager-983f2ca3165f4790b914baa58750d030?pvs=21),Crew,,,,5,Fimbul ECOS Superphoenix
Command Station (https://www.notion.so/Command-Station-fc4c7a500407470db4d040a69eed31ee?pvs=21),Station,,,,4,Fimbul ECOS Superphoenix
Flight Station (https://www.notion.so/Flight-Station-10ca52fc4d6c4f0a9718139127036fcf?pvs=21),Station,,,,8,Fimbul ECOS Superphoenix
Scanning Station (https://www.notion.so/Scanning-Station-c65a840caf4542319f04a7d6f79375b5?pvs=21),Station,,,,3,Fimbul ECOS Superphoenix
Operator Station (https://www.notion.so/Operator-Station-6fc5b5de0af04787ac000c31ebd9e953?pvs=21),Station,,,,29,Fimbul ECOS Superphoenix
Medical Station (https://www.notion.so/Medical-Station-59551e94dab34b699fd14b8c58433824?pvs=21),Station,,,,8,Fimbul ECOS Superphoenix
Hospitality Station (https://www.notion.so/Hospitality-Station-9f2ff753cde349449c3a89256b5e2e56?pvs=21),Station,,,,33,Fimbul ECOS Superphoenix
Engineering Station (https://www.notion.so/Engineering-Station-d37678d2cd9941118fb7eb3ee989dc67?pvs=21),Station,,,,8,Fimbul ECOS Superphoenix
Power Core (https://www.notion.so/Power-Core-fec1491dcb4b4c849f07de274513a992?pvs=21),Component,Core,,Titan,1,Fimbul ECOS Superphoenix
Warp Drive (https://www.notion.so/Warp-Drive-dd8657c0b3d047da98782551469b61a2?pvs=21),Component,Core,,Titan,1,Fimbul ECOS Superphoenix
Subwarp Engine (https://www.notion.so/Subwarp-Engine-c3fbf18af39048afb1dcec4a3b8ec14d?pvs=21),Component,Core,,Titan,1,Fimbul ECOS Superphoenix
Maneuvering Thrusters (https://www.notion.so/Maneuvering-Thrusters-26f4163fe70a480fbbfb28bf2346e2ac?pvs=21),Component,Core,,Titan,1,Fimbul ECOS Superphoenix
Shield Generator (https://www.notion.so/Shield-Generator-22ff6250d678461da38ad5adee5234e9?pvs=21),Component,Core,,Titan,1,Fimbul ECOS Superphoenix
Heat Sink (https://www.notion.so/Heat-Sink-9a2ef32ff8014683b7c02b4856ba14ce?pvs=21),Component,Core,,Titan,1,Fimbul ECOS Superphoenix
Scanner Array (https://www.notion.so/Scanner-Array-7ff97074be804fbbbe57c465e952d9f2?pvs=21),Component,Core,,Titan,1,Fimbul ECOS Superphoenix
Tractor Beam (https://www.notion.so/Tractor-Beam-a53cadac3f5543b09057327e01ec30c6?pvs=21),Component,Core,,Titan,1,Fimbul ECOS Superphoenix
Hull Reinforcement (https://www.notion.so/Hull-Reinforcement-187f8583d7374ce3a191be8165a87ed9?pvs=21),Component,Core,,Titan,1,Fimbul ECOS Superphoenix
Fixed Hardpoint (https://www.notion.so/Fixed-Hardpoint-c8ac7684ffe14d53a34fbae51e2f4aa5?pvs=21),Component,Combat,,Commander,1,Fimbul ECOS Superphoenix
