Stat,Modified Value
"cargo_capacity","255.79882332580175"
"fuel_capacity","619.9705831450435"
"ammo_capacity","104"
"asteroid_mining_food_rate","0.014"
"asteroid_mining_ammo_rate","0.013"
"asteroid_mining_rate","0.262"
"subwarp_speed","0.024037293649344003"
"warp_speed","0.37195293303206955"
"max_warp_distance","4.197576397288626"
"warp_cool_down","53.201176674198265"
"warp_fuel_consumption","11.961176674198263"
"subwarp_fuel_consumption","3.926211801355687"
"planet_exit_fuel","2.6204118359693913"
"scan_cool_down","684.0176501129739"
"sduPerScan","6"
"scan_cost","17.24082367193878"
"required_crew","1"
"passenger_capacity","0"
"respawnTime","51"
"ship_size","13"
"warp_lane_speed","2.8597646651603474"
"warp_lane_fee","6.960353002259479"
"warp_spool_time","1.9121882678717217"
"loading_rate","10.998823325801737"
"scan_power","757.9588164030608"
"hit_points","963.905866064139"
"shield_points","318.9646997740521"
"shield_recharge_rate","4.339646997740521"
"shield_break_delay","2.8201176674198263"
"damage","22"
"max_ap","5.359764665160347"
"ap_recharge_time","13.5"
"repair_cost","901.189409932216"
"repair_rate","13.079293995481045"
"repair_ability","20"
"repair_efficiency","93.59764665160347"
"repair_cooldown","31.402353348396524"
"loot_rate","5.219529330320695"
"ship_size_value","16006.798823325802"
"lp_value","1026.7694064708448"
"damage_kinetic","13.597646651603476"
"damage_energy","2.7195293303206953"
"damage_emp","0"
"damage_superchill","0"
"damage_shockwave","0"
"damage_graygoo","0"
"damage_heat","0"
"damage_bomb","0"
"counter_decoy","0"
"counter_energy_capacitor","0"
"counter_fire_suppressor","0"
"counter_flare","0"
"counter_healing_nanobots","0"
"counter_mine","0"
"counter_negative_rem_plating","0"
"counter_warming_plates","0"
"counter_faraday_shielding","0"
"crit_chance","0.024957411316763826"
"crit_multiplier","8.535388129416903"
"damage_range","0.2359764665160348"
