Stat,Base Value,Modified Value,Percentage Change,Components Affecting
"cargo_capacity","16576173","18961968.999918424","14.39%","16"
"fuel_capacity","8345147","9095396.999974348","8.99%","2"
"ammo_capacity","13266644","13446752.999993842","1.36%","55"
"asteroid_mining_food_rate","47.305","47.305","0.00%","0"
"asteroid_mining_ammo_rate","133.775","133.775","0.00%","0"
"asteroid_mining_rate","2675.491","2675.491","0.00%","0"
"subwarp_speed","0.0074","-36.00179999876874","-486610.81%","13"
"warp_speed","0.1","0.14","40.00%","2"
"max_warp_distance","17.17","17.53","2.10%","2"
"warp_cool_down","780","779","-0.13%","1"
"warp_fuel_consumption","141005.62","141004.62","-0.00%","2"
"subwarp_fuel_consumption","38737.81","38737.63","-0.00%","3"
"planet_exit_fuel","38738","38737.65","-0.00%","3"
"scan_cool_down","732","717","-2.05%","2"
"sduPerScan","52457","52457","0.00%","0"
"scan_cost","76383","76382.29999999999","-0.00%","3"
"required_crew","236","30241.999998973948","12714.41%","6"
"passenger_capacity","2773","62792.99999794789","2164.44%","2"
"respawnTime","740","740","0.00%","0"
"ship_size","540","540","0.00%","0"
"warp_lane_speed","1","1.2000000000000002","20.00%","2"
"warp_lane_fee","580","-104455.29999640881","-18109.53%","8"
"warp_spool_time","58","57.839999999999996","-0.28%","3"
"loading_rate","165761.7","165762.7","0.00%","3"
"scan_power","1380","1415","2.54%","2"
"hit_points","4990000","4990080","0.00%","2"
"shield_points","1996000","1996030","0.00%","2"
"shield_recharge_rate","39920","39920.299999999996","0.00%","3"
"shield_break_delay","7.5","7.4","-1.33%","3"
"damage","1327000","1327049","0.00%","49"
"max_ap","20","20.2","1.00%","1"
"ap_recharge_time","2","1.5","-25.00%","2"
"repair_cost","9980000","9980029.5","0.00%","62"
"repair_rate","66600","66600.59999999999","0.00%","3"
"repair_ability","25","25","0.00%","0"
"repair_efficiency","85","87","2.35%","2"
"repair_cooldown","150","148","-1.33%","1"
"loot_rate","165761.7","165713.10000000003","-0.03%","51"
"ship_size_value","169000000","169000001","0.00%","1"
"lp_value","4250000","5953169.157862126","40.07%","180"
"damage_kinetic","0","80832.83886990548","0.00%","45"
"damage_energy","0","65326.11887615899","0.00%","45"
"damage_emp","0","49533.19947612778","0.00%","18"
"damage_superchill","0","0","0.00%","0"
"damage_shockwave","0","0","0.00%","0"
"damage_graygoo","0","0","0.00%","0"
"damage_heat","0","0","0.00%","0"
"damage_bomb","0","0","0.00%","0"
"counter_decoy","0","0","0.00%","0"
"counter_energy_capacitor","0","17635.599905214276","0.00%","7"
"counter_fire_suppressor","0","4500.399927122074","0.00%","5"
"counter_flare","0","4819.799902075371","0.00%","7"
"counter_healing_nanobots","0","0","0.00%","0"
"counter_mine","0","0","0.00%","0"
"counter_negative_rem_plating","0","0","0.00%","0"
"counter_warming_plates","0","0","0.00%","0"
"counter_faraday_shielding","0","2827.9999462546607","0.00%","4"
"crit_chance","0","0.0022","0.00%","5"
"crit_multiplier","0","0.52","0.00%","5"
"damage_range","0","0.02","0.00%","2"
